Area name,Area code,2011 to 2013,2012 to 2014,2013 to 2015,2014 to 2016,2015 to 2017,2016 to 2018,2017 to 2019,2018 to 2020,2019 to 2021,2020 to 2022,2021 to 2023,2022 to 2024,gap_2011_2013,gap_2022_2024,total_change,annual_change,IMD_Rank,IMD_Decile,gap_2035_projected,status_2035
Barking and Dagenham,E09000002,20.803801169590646,22.830532706619667,19.837866927592952,19.96731898238748,18.410759493670884,19.31878031878032,19.956644725137878,20.271845710165827,20.333625730994143,17.309868421052624,15.913664790494057,20.882748538011693,20.803801169590646,20.882748538011693,0.07894736842104777,0.007177033492822524,8722.460869565217,3.0782608695652174,20.972461456671976,Borderline (Slow Decline)
Barnet,E09000003,14.62592592592592,15.430873493975902,14.614197530864196,17.56089743589743,17.076638176638177,19.345991561181435,21.13800925102295,18.38347854676968,17.097863247863245,19.50744098528908,18.324999999999996,21.897222222222226,14.62592592592592,21.897222222222226,7.271296296296306,0.661026936026937,17019.754545454547,5.504545454545455,30.16005892255894,Off Track (Rapid Decline)
Bath and North East Somerset,E06000022,14.814785066190687,14.868964747880412,15.285064739536281,16.53556024378809,16.5207063603688,16.166887928372958,16.217134918184627,17.06030389363722,16.58716205657133,16.206159308428525,17.06016144349477,17.95990259740259,14.814785066190687,17.95990259740259,3.145117531211902,0.28591977556471837,23153.9406779661,7.313559322033898,21.53389979196157,Off Track (Rapid Decline)
Bedford,E06000055,14.699159601368436,14.381207757860722,15.5280487804878,15.606402439024393,17.246474358974353,17.155769230769224,15.897638159925904,18.738326585695006,16.597720797720793,18.617071524966256,18.961538461538456,18.756962025316454,14.699159601368436,18.756962025316454,4.057802423948019,0.3688911294498199,17546.495726495727,5.6752136752136755,23.368101143439205,Off Track (Rapid Decline)
Bexley,E09000004,16.41835522201376,17.70811688311688,16.45440900562852,16.40733708391935,17.269400352733683,16.426203877423397,15.958860759493675,15.13629518072289,15.476524390243902,17.16485489818823,17.553571428571423,20.544120263298346,16.41835522201376,20.544120263298346,4.125765041284588,0.3750695492076898,21229.797297297297,6.777027027027027,25.232489628394468,Off Track (Rapid Decline)
Birmingham,E08000025,20.377397260273973,21.59342723004694,20.767397660818716,19.497174447174437,19.94238975817923,20.54610670511896,20.427469358327333,19.52000702000702,18.98080388080388,18.868225918225917,21.840476190476195,21.05033358042995,20.377397260273973,21.05033358042995,0.6729363201559764,0.061176029105088764,8954.295902883156,3.1836115326251897,21.81503394424356,Borderline (Slow Decline)
Blackburn with Darwen,E06000008,21.66863342215455,21.876151503616295,21.36719219219219,20.018781542898342,20.46849315068493,19.701778093883355,19.339066339066335,19.18445068445068,20.360380116959064,20.987089201877936,21.51381804339551,23.828169014084505,21.66863342215455,23.828169014084505,2.1595355919299557,0.1963214174481778,9321.252747252747,3.3076923076923075,26.282186732186727,Borderline (Slow Decline)
Blackpool,E06000009,20.890845070422536,21.329577464788734,20.350000000000005,21.119204415683285,21.218462124095932,21.70115830115831,22.53821719277348,22.329461981338106,23.06977124183006,23.52840025225983,23.606485179735124,25.38021181716833,20.890845070422536,25.38021181716833,4.4893667467457945,0.4081242497041631,7160.755319148936,2.75531914893617,30.48176493847037,Off Track (Rapid Decline)
Bolton,E08000001,18.689743589743593,19.140909090909094,19.174242424242426,19.966856330014224,19.190909090909095,19.140909090909094,18.871794871794865,18.67051282051282,19.01593901593901,19.69989325742751,20.90555555555556,24.16246893123446,18.689743589743593,24.16246893123446,5.472725341490868,0.49752048559007894,12538.926553672316,4.214689265536723,30.38147500111045,Off Track (Rapid Decline)
"Bournemouth, Christchurch and Poole",E06000058,16.865384615384606,15.976782957702994,15.515548780487805,16.370589154555397,16.71737891737891,16.34400687607438,16.89582146248813,17.27147435897436,16.36198624785122,16.644634377967705,17.954605263157895,20.543417541362743,16.865384615384606,20.543417541362743,3.678032925978137,0.3343666296343761,19141.1625,6.166666666666667,24.723000411792444,Off Track (Rapid Decline)
Bracknell Forest,E06000036,15.306263173742849,14.893908969210173,14.983273836085083,15.450150602409636,14.865989885467798,15.855182926829265,15.819207317073172,16.757610564150646,15.343706714844927,16.63095014846069,17.4625,17.055063291139234,15.306263173742849,17.055063291139234,1.7488001173963852,0.15898182885421683,25232.378048780487,7.975609756097561,19.042336151816944,Borderline (Slow Decline)
Bradford,E08000032,19.046103896103894,18.656410256410254,18.73205128205128,18.751282051282047,19.97513787582281,19.57974727974728,19.252380952380953,17.466948873910898,17.926149233844107,19.77812666785269,21.432159624413146,21.969699276741533,19.046103896103894,21.969699276741533,2.9235953806376394,0.2657813982397854,10508.846153846154,3.6474358974358974,25.29196675473885,Borderline (Slow Decline)
Brent,E09000005,18.833544303797467,17.231008497675163,18.099342105263155,17.83490259740259,19.06329113924051,16.62210756722952,17.015622032288697,17.263782051282043,19.568433818433817,22.096240601503762,14.795833333333334,17.859551656920075,18.833544303797467,17.859551656920075,-0.9739926468773916,-0.08854478607976288,10100.486187845303,3.5138121546961325,16.75274183092304,On Track (Improving)
Brighton and Hove,E06000043,16.997756410256404,18.324983344437044,18.680229419703103,18.241039307128577,18.34407061958694,16.113353649007657,16.585992402659066,15.410670731707313,17.013461538461534,17.34870129870129,19.8547034047034,19.558658008658007,16.997756410256404,19.558658008658007,2.5609015984016033,0.23280923621832758,17382.090909090908,5.642424242424243,22.4687734613871,Borderline (Slow Decline)
"Bristol, City of",E06000023,17.326136363636365,17.448376623376625,19.016666666666666,19.91970866970867,18.975641025641025,18.93333333333333,18.22275149900066,19.039743589743587,17.681111293769515,18.537341772151898,20.172149083792924,20.662085137085136,17.326136363636365,20.662085137085136,3.33594877344877,0.30326807031352454,16521.31343283582,5.365671641791045,24.45293601600419,Off Track (Rapid Decline)
Bromley,E09000006,15.356927710843372,16.163970361222603,15.491114457831323,15.864634146341466,16.22811052794072,17.556285072951738,17.984902597402595,16.208474837912938,15.392168674698794,13.747058823529422,14.658906525573194,16.40663785118864,15.356927710843372,16.40663785118864,1.0497101403452689,0.09542819457684262,23390.94974874372,7.381909547738694,17.599490283399174,Borderline (Slow Decline)
Buckinghamshire,E06000060,14.12619047619048,14.135714285714293,12.87591036414566,13.283380581148124,13.388944011339476,13.721772805507747,14.121835075493614,14.968570578610738,14.929094154395358,14.481569664902999,17.431089743589737,17.59711538461538,14.12619047619048,17.59711538461538,3.470924908424898,0.3155386280386271,23612.25748502994,7.449101796407185,21.541348235098216,Off Track (Rapid Decline)
Bury,E08000002,17.548339635048492,18.33056680161943,18.423616734143053,19.64212004212004,17.976789876789876,18.388663967611336,18.580431848852903,16.806730769230764,17.211525974025975,18.57564102564102,19.41460161460162,22.500983986108434,17.548339635048492,22.500983986108434,4.952644351059941,0.4502403955509038,15987.941666666668,5.233333333333333,28.12898893049473,Off Track (Rapid Decline)
Calderdale,E08000033,17.955229846768823,17.647953312510275,16.043772464447564,17.32126623376623,17.20422077922078,17.69275850731547,17.634662173269763,18.48002699055331,18.464135021097047,19.216597366597362,17.17646103896104,19.68955773955774,17.955229846768823,19.68955773955774,1.7343278927889152,0.15766617207171957,13214.449612403101,4.434108527131783,21.66038489045423,Borderline (Slow Decline)
Camden,E09000007,21.66885964912281,20.082328482328478,20.929621063867636,19.54871794871795,19.136497890295356,18.71666666666667,19.076582278481013,20.205194805194807,20.064654264654266,20.111556023884788,18.979957805907173,23.848883666274975,21.66885964912281,23.848883666274975,2.180024017152167,0.19818400155928792,14474.784615384615,4.8076923076923075,26.326183685766075,Borderline (Slow Decline)
Central Bedfordshire,E06000056,16.430793874042813,16.50585247694952,17.438782051282047,16.551203313017652,15.664329268292683,15.65640243902439,15.784756097560972,13.951219512195124,16.0495832046928,17.165064102564095,17.675487012987006,21.552192982456138,16.430793874042813,21.552192982456138,5.121399108413325,0.46558173712848405,22598.737142857142,7.188571428571429,27.371964696562188,Off Track (Rapid Decline)
Cheshire East,E06000049,14.750364420645539,14.740123456790123,15.137865100873228,15.503048780487802,13.99221835075494,14.014169570267136,14.828000892458725,13.897793263646925,13.105811481218993,15.617378048780488,16.422190967338643,16.834651898734172,14.750364420645539,16.834651898734172,2.0842874780886333,0.1894806798262394,22362.91393442623,7.086065573770492,19.203160396562165,Borderline (Slow Decline)
Cheshire West and Chester,E06000050,16.651756885090215,17.14166666666666,16.335403969370212,15.478048780487804,15.033815115928938,14.617060835936343,13.864866434378634,16.408899828098136,17.608116883116878,16.6869420702754,19.243589743589745,19.68333333333333,16.651756885090215,19.68333333333333,3.031576448243115,0.27559785893119226,19748.333333333332,6.346846846846847,23.128306569973233,Off Track (Rapid Decline)
Cornwall,E06000052,18.36235842771486,17.570616883116884,17.157371794871793,17.975020549071186,17.580681818181816,18.359860093271152,17.605681818181818,16.76443494776828,18.76821862348178,19.11282051282051,21.13304093567252,21.17192982456141,18.36235842771486,21.17192982456141,2.8095713968465503,0.25541558153150457,14218.202380952382,4.720238095238095,24.364624593705216,Borderline (Slow Decline)
County Durham,E06000047,21.101073676416142,21.45315315315316,22.322969322786037,20.697945205479456,20.731278538812788,19.901920341394025,20.905847953216373,20.237563085796687,19.789615931721194,20.4203196347032,22.620058708414874,23.904738562091502,21.101073676416142,23.904738562091502,2.80366488567536,0.25487862597048727,11719.424242424242,3.987878787878788,27.090721386722592,Borderline (Slow Decline)
Coventry,E08000026,17.18652597402598,18.164590273151227,17.30876623376623,18.52402159244265,17.76578990629623,18.93076923076923,18.944871794871787,18.423616734143053,18.68461538461538,19.900462551147484,21.102335063009637,20.29433621933622,17.18652597402598,20.29433621933622,3.1078102453102403,0.2825282041191128,13490.152709359605,4.4926108374384235,23.82593877082513,Off Track (Rapid Decline)
Croydon,E09000008,18.349866755496336,18.437108594270484,18.032894736842103,18.86693657219973,20.52136630492795,18.946624472573838,17.712987012987007,17.533116883116882,18.28840772818121,17.93881578947368,19.62137907137907,15.268222891566268,18.349866755496336,15.268222891566268,-3.0816438639300685,-0.2801494421754608,15587.475982532751,5.126637554585153,11.766354864373008,On Track (Improving)
Cumberland,E06000063,18.464237516869098,18.49412955465587,17.67946736807496,18.16129247168554,17.735919776426105,16.875641025641016,19.05128205128205,18.9025641025641,18.762820512820515,18.564102564102562,20.66278538812785,19.873897581792324,18.464237516869098,19.873897581792324,1.4096600649232265,0.1281509149930206,14653.350282485875,4.830508474576271,21.475784019205083,Borderline (Slow Decline)
Darlington,E06000005,17.266147354754942,17.666176228834455,18.018387741505656,18.07654896735509,18.074050632911387,17.662888377445338,18.797435897435896,18.25499325236167,19.016233766233768,19.777382645803698,21.963989341454138,21.16111111111112,17.266147354754942,21.16111111111112,3.8949637563561765,0.3540876142141979,14656.10606060606,4.878787878787879,25.587206288788593,Off Track (Rapid Decline)
Derby,E06000015,20.45634462869502,20.5379956741168,20.480245133381395,20.893713450292402,20.068306351183065,20.10173456680306,20.564167267483782,20.835380116959065,21.383802816901415,22.98341274568196,23.024369664482826,22.43648648648649,20.45634462869502,22.43648648648649,1.9801418577914696,0.18001289616286087,14628.203947368422,4.809210526315789,24.68664768852225,Borderline (Slow Decline)
Doncaster,E08000017,21.008333333333333,21.008333333333333,19.142640692640686,19.142640692640686,18.71282051282051,21.225,21.57987987987989,21.73033878949372,22.15965250965251,20.553508771929828,21.850019033117633,23.74918300653595,21.008333333333333,23.74918300653595,2.740849673202618,0.2491681521093289,11903.904522613066,4.060301507537688,26.863784907902563,Borderline (Slow Decline)
Dorset,E06000059,16.595764963275506,16.246032726150048,15.75030487804878,15.773780487804878,16.595764963275506,17.420192307692304,18.36644736842105,17.445192307692302,16.65205500859509,16.992165242165242,19.109704641350206,17.456044572711235,16.595764963275506,17.456044572711235,0.8602796094357288,0.07820723722142989,19445.81614349776,6.26457399103139,18.43363503797911,Borderline (Slow Decline)
Dudley,E08000027,19.176923076923078,19.04871794871795,19.469958419958424,19.884573534573533,19.807265707265707,19.751930501930502,19.05128205128205,18.569703103913625,19.03205128205128,20.194200320227715,20.272433730652914,21.439399555226096,19.176923076923078,21.439399555226096,2.262476478303018,0.2056796798457289,16469.137931034482,5.3399014778325125,24.01039555329771,Borderline (Slow Decline)
Ealing,E09000009,20.089259389259386,19.741129591129592,19.83613998613999,20.236837486837487,20.329080379080384,19.053164556962024,20.72193559864793,19.182051282051283,17.16384479717813,16.377579737335836,16.452814258911822,19.860637560637553,20.089259389259386,19.860637560637553,-0.2286218286218329,-0.02078380260198481,12456.8391959799,4.1708542713567835,19.600840028112742,On Track (Improving)
East Riding of Yorkshire,E06000011,16.305696202531635,17.24326923076923,18.08299358868979,17.958441558441557,17.59074675324675,17.301282051282044,16.865384615384606,15.501524390243908,16.82545109211776,19.169230769230765,19.976816426816427,22.604111153406926,16.305696202531635,22.604111153406926,6.298414950875291,0.5725831773522991,20871.76056338028,6.661971830985915,29.761400870310666,Off Track (Rapid Decline)
Enfield,E09000010,17.685551948051938,15.20798192771084,15.222740963855415,17.667857142857137,16.86301044634377,19.92051282051282,20.314145314145314,20.994484498918524,19.198717948717945,19.733957033957036,20.643702188222733,22.00555555555556,17.685551948051938,22.00555555555556,4.320003607503622,0.39272760068214746,11661.377049180328,3.9508196721311477,26.914650564082404,Off Track (Rapid Decline)
Gateshead,E08000037,21.42552552552553,21.025000000000002,21.949276741530262,19.889687055476536,20.3246214852199,20.337707281903395,20.678654970760235,21.08333333333334,22.647358121330733,23.730414370279654,22.46917808219179,21.022222222222226,21.42552552552553,21.022222222222226,-0.40330330330330355,-0.036663936663936685,13097.452380952382,4.388888888888889,20.563923013923016,On Track (Improving)
Greenwich,E09000011,18.543881856540082,18.540506329113917,18.159593604263822,19.421861471861476,18.953846153846158,19.537006237006235,18.637130801687764,17.734275850731542,19.61928746928747,21.192438843587844,20.590223665223668,23.193693693693696,18.543881856540082,23.193693693693696,4.649811837153614,0.42271016701396485,13871.469512195123,4.573170731707317,28.477570781368257,Off Track (Rapid Decline)
Hackney,E09000012,21.328873239436625,20.58881673881674,20.086799501868,19.389050589050587,19.417255717255717,19.477130977130976,19.42072072072072,18.974358974358974,16.369990503323834,16.27982261640798,18.823811152925074,21.392031134173468,21.328873239436625,21.392031134173468,0.06315789473684319,0.005741626794258472,9003.68456375839,3.1543624161073827,21.4638014691017,Borderline (Slow Decline)
Halton,E06000006,20.07653208363374,19.701778093883355,19.870341394025605,19.768492176386914,19.701778093883355,20.21906993511175,19.930332681017614,19.441839241839244,20.997222222222227,20.089617880317235,22.067123287671233,22.601565557729945,20.07653208363374,22.601565557729945,2.5250334740962046,0.2295484976451095,12141.475,4.1375,25.470921778293814,Borderline (Slow Decline)
Hammersmith and Fulham,E09000013,18.32083333333333,17.923026315789468,17.99539473684211,17.65292207792207,17.98618421052631,17.587979207277456,16.441838649155727,15.694844087681389,14.166490299823636,14.096119929453266,13.866412490922293,15.6978725026689,18.32083333333333,15.6978725026689,-2.6229608306644288,-0.23845098460585715,15359.991304347826,5.086956521739131,12.717235195095686,On Track (Improving)
Haringey,E09000014,20.543417541362743,18.92341772151898,18.89345991561181,17.710227272727266,16.502970606629148,17.429381112714438,17.74285714285714,16.315072667604305,14.15255731922398,17.10410453743787,18.960126582278477,24.475624496373896,20.543417541362743,24.475624496373896,3.9322069550111536,0.3574733595464685,11177.741496598639,3.8095238095238093,28.944041490704752,Off Track (Rapid Decline)
Harrow,E09000015,17.19169040835707,16.85253283302064,14.680158730158723,16.794358493514608,16.39566224143254,15.202796370667862,20.68397683397683,19.332793522267202,18.59250499666888,18.246710526315788,19.630769230769225,20.9893613236079,17.19169040835707,20.9893613236079,3.79767091525083,0.34524281047734817,18426.868055555555,5.923611111111111,25.304896454574752,Off Track (Rapid Decline)
Hartlepool,E06000001,23.186904761904767,23.66473429951691,22.6288649706458,21.805881233346028,21.674343357441956,20.866666666666667,22.18880308880309,21.61307575180815,22.214090019569475,22.532936507936512,24.54754797441364,27.230597014925372,23.186904761904767,27.230597014925372,4.043692253020605,0.36760838663823686,10524.561403508771,3.736842105263158,31.825701847903332,Off Track (Rapid Decline)
Havering,E09000016,16.382301438399004,16.440306441525955,16.031661006483482,17.787662337662333,16.848907882241214,17.22780182780182,17.712987012987007,17.165064102564095,18.325782811459028,16.939818823152155,20.52918519836328,19.029746835443035,16.382301438399004,19.029746835443035,2.647445397044031,0.24067685427673008,19985.78431372549,6.42483660130719,22.03820751390216,Borderline (Slow Decline)
"Herefordshire, County of",E06000019,14.716666666666669,14.81329763498438,14.041289198606272,13.845818815331015,14.776796073181615,15.564024390243908,16.400296921393966,15.543597560975606,15.537500000000001,17.149358974358975,18.064473684210522,19.625086625086624,14.716666666666669,19.625086625086624,4.908419958419955,0.4462199962199959,16930.452991452992,5.538461538461538,25.20283657783657,Off Track (Rapid Decline)
Hillingdon,E09000017,17.212866762866753,18.117763157894736,17.625811688311686,19.373076923076926,19.258974358974356,18.84008438818565,21.226608187134502,17.96337333552523,18.750421940928266,19.14141293191926,15.610934878755529,17.216073432740096,17.212866762866753,17.216073432740096,0.00320666987334306,0.00029151544303118726,16498.288235294116,5.376470588235295,17.219717375777986,Borderline (Slow Decline)
Hounslow,E09000018,17.144604777938106,17.94473684210526,19.29570646595963,20.224534924534925,20.57328767123288,20.618092866038072,21.469590643274856,19.073076923076922,16.69867046533713,16.25378361475922,19.695356895356895,23.198841698841704,17.144604777938106,23.198841698841704,6.054236920903598,0.5503851746275998,12619.88,4.226666666666667,30.078656381686702,Off Track (Rapid Decline)
Isle of Wight,E06000046,19.236978810663018,18.901889338731444,18.785695006747645,18.826315789473686,19.238461538461543,20.015789473684215,20.002281502281505,17.961729409830674,19.498917748917755,18.30419720186542,20.68323720259553,22.947549681651555,19.236978810663018,22.947549681651555,3.710570870988537,0.33732462463532153,12900.38202247191,4.314606741573034,27.164107489593075,Off Track (Rapid Decline)
Islington,E09000019,20.587409812409817,18.673839662447254,19.325710325710325,19.04230769230769,20.312978117772637,18.663713080168776,18.59388185654008,16.52260208926875,13.302439024390246,16.120544090056285,20.224070450097848,20.799603174603178,20.587409812409817,20.799603174603178,0.2121933621933607,0.019290305653941884,11381.301587301587,3.8492063492063493,21.04073199527745,Borderline (Slow Decline)
Kensington and Chelsea,E09000020,16.373711021920343,15.592319277108437,16.916791744840523,18.96555629580279,19.675641025641024,19.416033755274263,19.34282700421941,18.906595602931375,17.1377967711301,15.546292947558769,16.02427177062681,17.776006092672752,16.373711021920343,17.776006092672752,1.402295070752409,0.1274813700684008,16664.90099009901,5.425742574257426,19.36952321852776,Borderline (Slow Decline)
"Kingston upon Hull, City of",E06000010,21.531385610963078,22.561643835616444,22.036679536679536,22.500293542074367,21.231690140845068,20.70277777777778,19.944808940158616,21.962548262548264,21.76756756756757,23.562603648424542,23.40539215686275,25.10735930735931,21.531385610963078,25.10735930735931,3.5759736963962325,0.32508851785420295,9520.75,3.386904761904762,29.170965780536847,Off Track (Rapid Decline)
Kingston upon Thames,E09000021,16.956837606837603,14.489594356261023,15.405873493975903,14.92314442957013,16.201528249459713,15.304668674698789,15.329668674698794,14.112311265969803,14.94660121969359,13.755882352941185,13.687661406025827,16.791400875547218,16.956837606837603,16.791400875547218,-0.1654367312903844,-0.015039702844580399,24502.60606060606,7.757575757575758,16.603404589989964,On Track (Improving)
Kirklees,E08000034,18.100632911392402,19.81693576693577,19.297186147186146,19.701860301860304,19.322245322245315,19.677255177255176,18.93333333333333,18.885897435897434,19.584152334152336,20.00500800569294,21.23611111111111,21.999124476589266,18.100632911392402,21.999124476589266,3.8984915651968635,0.3544083241088058,14567.107692307693,4.8076923076923075,26.429228527949338,Off Track (Rapid Decline)
Knowsley,E08000011,20.81111111111111,19.994881038211968,20.41849315068493,19.976387887527032,20.06614996395097,19.65263157894737,19.37420147420147,18.265384615384612,18.931467181467184,22.62274171133612,23.416666666666664,24.796055437100218,20.81111111111111,24.796055437100218,3.984944325989108,0.36226766599900984,9241.84,3.29,29.32440126208784,Off Track (Rapid Decline)
Lambeth,E09000022,17.73815789473684,19.463028413028415,17.719078947368416,18.087341772151902,17.02732082732082,18.760337552742616,19.688184338184342,18.988461538461536,16.520227920227917,16.98251563251563,17.127561327561327,17.11903960237293,17.73815789473684,17.11903960237293,-0.6191182923639111,-0.056283481123991924,13318.07182320442,4.480662983425415,16.41549608832303,On Track (Improving)
Leeds,E08000035,18.793589743589738,19.787065637065638,18.143004663557623,18.145502998001334,17.318831168831164,17.326136363636365,17.749210915666612,17.634662173269763,19.686925236925234,17.646710526315786,18.810256410256407,19.719427869427868,18.793589743589738,19.719427869427868,0.9258381258381299,0.0841671023489209,16564.456967213115,5.418032786885246,20.77151664878938,Borderline (Slow Decline)
Leicester,E06000016,21.94642177388657,21.457981220657278,20.343114635904833,19.52177957177957,19.960202810887747,20.70540935672515,20.385075702956026,19.930332681017614,20.913888888888884,20.275292397660817,22.02509652509653,21.457981220657278,21.94642177388657,21.457981220657278,-0.48844055322929236,-0.0444036866572084,8876.075,3.14,20.90293513744217,On Track (Improving)
Lewisham,E09000023,15.767042297005247,18.633755274261603,20.339290161892897,18.227748167888073,17.888815789473686,18.366666666666664,18.670464135021096,17.353571428571424,17.28133116883117,17.269493177387908,23.003329416372893,23.293341167254205,15.767042297005247,23.293341167254205,7.526298870248958,0.6842089882044508,12155.954285714286,4.091428571428572,31.84595351980984,Off Track (Rapid Decline)
Liverpool,E08000012,20.81111111111111,20.900000000000006,20.77777777777778,20.880555555555556,19.222218322218325,19.219585819585816,19.677842020992706,19.992177361211244,19.78377793799567,19.683633741888972,22.322113502935427,21.898755546980517,20.81111111111111,21.898755546980517,1.0876444358694073,0.09887676689721885,9388.19536423841,3.3741721854304636,23.13471513319575,Borderline (Slow Decline)
Luton,E06000032,21.330555555555556,20.47754145638068,19.32705627705628,18.833333333333332,18.48171390013495,19.27077922077922,20.50641672674838,19.57974727974728,17.870486342438376,18.70641025641026,20.862134502923986,24.805679933665008,21.330555555555556,24.805679933665008,3.4751243781094523,0.3159203980099502,11631.36,3.96,28.754684908789386,Off Track (Rapid Decline)
Manchester,E08000003,20.738888888888887,21.37657023220404,20.993318318318323,21.31815759421393,20.22237442922374,19.992177361211244,20.108111031002164,17.603764157228518,18.569092169092173,20.161111111111115,19.42109055328233,20.66944444444445,20.738888888888887,20.66944444444445,-0.06944444444443576,-0.006313131313130524,8217.874576271186,2.9559322033898305,20.59053030303032,On Track (Improving)
Medway,E06000035,18.96666666666666,19.39545454545454,19.641228070175437,18.86923076923077,18.079846768820786,17.737563702120664,17.86047180667434,17.326136363636365,19.24437229437229,19.541979641979637,21.18611111111111,20.966210045662102,18.96666666666666,20.966210045662102,1.9995433789954404,0.1817766708177673,14763.816568047338,4.9171597633136095,23.23841843088419,Borderline (Slow Decline)
Merton,E09000024,16.00739425748688,18.199342105263156,18.186842105263153,17.810227272727268,17.735551948051942,18.309210526315788,16.163970361222603,14.80603153354157,12.762636592883162,12.721672737461475,15.819673631233798,20.766740793453124,16.00739425748688,20.766740793453124,4.759346535966245,0.4326678669060222,21638.93650793651,6.904761904761905,26.175089129778403,Off Track (Rapid Decline)
