Period,Country,Area type,Area code,Area name,Sex,Sex code,Age group,Age code,HLE,LCI,UCI,Proportion (%),LE_calculated,LE,HLE_Gap
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,<1,1,56.1,54.0,58.2,72,77.91666666666667,77.91666666666667,21.81666666666667
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,<1,1,57.3,54.9,59.7,70,81.85714285714286,81.85714285714286,24.557142857142864
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,<1,1,57.7,55.6,59.8,75,76.93333333333334,76.93333333333334,19.233333333333334
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,<1,1,58.8,56.7,60.9,73,80.54794520547945,80.54794520547945,21.747945205479454
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,<1,1,58.9,56.7,61.2,75,78.53333333333333,78.53333333333333,19.633333333333333
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,<1,1,60.2,57.9,62.5,74,81.35135135135135,81.35135135135135,21.15135135135135
2011 to 2013,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,<1,1,60.9,58.8,63.0,78,78.07692307692307,78.07692307692307,17.176923076923067
2011 to 2013,England,Local Areas,E06000004,Stockton-on-Tees,Female,2,<1,1,62.6,60.4,64.9,76,82.36842105263158,82.36842105263158,19.768421052631574
2011 to 2013,England,Local Areas,E06000005,Darlington,Male,1,<1,1,62.0,59.9,64.1,79,78.48101265822784,78.48101265822784,16.48101265822784
2011 to 2013,England,Local Areas,E06000005,Darlington,Female,2,<1,1,64.0,61.9,66.2,78,82.05128205128204,82.05128205128204,18.051282051282044
2011 to 2013,England,Local Areas,E06000006,Halton,Male,1,<1,1,58.4,56.1,60.6,76,76.84210526315789,76.84210526315789,18.44210526315789
2011 to 2013,England,Local Areas,E06000006,Halton,Female,2,<1,1,58.7,56.3,61.2,73,80.41095890410959,80.41095890410959,21.71095890410959
2011 to 2013,England,Local Areas,E06000007,Warrington,Male,1,<1,1,62.1,59.8,64.3,79,78.60759493670886,78.60759493670886,16.507594936708863
2011 to 2013,England,Local Areas,E06000007,Warrington,Female,2,<1,1,62.9,60.4,65.3,77,81.68831168831169,81.68831168831169,18.788311688311687
2011 to 2013,England,Local Areas,E06000008,Blackburn with Darwen,Male,1,<1,1,56.5,54.3,58.7,74,76.35135135135135,76.35135135135135,19.851351351351354
2011 to 2013,England,Local Areas,E06000008,Blackburn with Darwen,Female,2,<1,1,57.5,54.9,60.1,71,80.98591549295774,80.98591549295774,23.485915492957744
2011 to 2013,England,Local Areas,E06000009,Blackpool,Male,1,<1,1,55.5,53.3,57.7,75,74.0,74.0,18.5
2011 to 2013,England,Local Areas,E06000009,Blackpool,Female,2,<1,1,57.0,54.8,59.2,71,80.28169014084507,80.28169014084507,23.281690140845072
2011 to 2013,England,Local Areas,E06000010,"Kingston upon Hull, City of",Male,1,<1,1,56.3,54.0,58.7,74,76.08108108108108,76.08108108108108,19.781081081081084
